danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.602,0.785,7,-6.129,1,0.0578,0.245,0,0.19,0.565,168.076,audio_features,2J56xal7OfAlClcJymx8p4,spotify:track:2J56xal7OfAlClcJymx8p4,https://api.spotify.com/v1/tracks/2J56xal7OfAlClcJymx8p4,https://api.spotify.com/v1/audio-analysis/2J56xal7OfAlClcJymx8p4,214480,4,RnB,I Need a Girl,,
0.622,0.593,7,-8.352,0,0.0916,0.163,0,0.0979,0.607,188.728,audio_features,5WphWTUIfRe7x8NZss79cY,spotify:track:5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/tracks/5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/audio-analysis/5WphWTUIfRe7x8NZss79cY,249093,4,RnB,Let Me Love You,,
0.717,0.583,1,-5.008,1,0.146,0.506,0,0.0821,0.816,139.76,audio_features,6OSmeoh8kXhCfz9WqvzDoJ,spotify:track:6OSmeoh8kXhCfz9WqvzDoJ,https://api.spotify.com/v1/tracks/6OSmeoh8kXhCfz9WqvzDoJ,https://api.spotify.com/v1/audio-analysis/6OSmeoh8kXhCfz9WqvzDoJ,252933,4,RnB,Same Girl (with Usher),,
0.819,0.506,1,-4.965,1,0.0479,0.376,0,0.0945,0.608,199.942,audio_features,74r0nwfhQyQ5vPYjDoEuve,spotify:track:74r0nwfhQyQ5vPYjDoEuve,https://api.spotify.com/v1/tracks/74r0nwfhQyQ5vPYjDoEuve,https://api.spotify.com/v1/audio-analysis/74r0nwfhQyQ5vPYjDoEuve,287947,4,RnB,Me & U (feat. Diddy & Yung Joc) - Remix,,
0.662,0.748,5,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,164.662,audio_features,6Nq5lE0CeOAAAqN4qhkbZU,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/audio-analysis/6Nq5lE0CeOAAAqN4qhkbZU,239027,4,RnB,Suga Suga,,
0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,audio_features,0ARK753YaiJbpLUk7z5yIM,spotify:track:0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/audio-analysis/0ARK753YaiJbpLUk7z5yIM,289160,4,RnB,Dilemma,,
0.675,0.394,8,-8.539,1,0.133,0.0611,0,0.214,0.405,209.974,audio_features,5kxddRG1RZaZROadk7iC4D,spotify:track:5kxddRG1RZaZROadk7iC4D,https://api.spotify.com/v1/tracks/5kxddRG1RZaZROadk7iC4D,https://api.spotify.com/v1/audio-analysis/5kxddRG1RZaZROadk7iC4D,238800,4,RnB,Bartender,,
0.659,0.696,3,-4.291,1,0.071,0.143,0,0.13,0.665,172.002,audio_features,1j3H54xdahpAkNI0q6S89q,spotify:track:1j3H54xdahpAkNI0q6S89q,https://api.spotify.com/v1/tracks/1j3H54xdahpAkNI0q6S89q,https://api.spotify.com/v1/audio-analysis/1j3H54xdahpAkNI0q6S89q,252160,4,RnB,With You,,
0.772,0.587,6,-6.944,1,0.187,0.0697,0,0.252,0.755,168.05,audio_features,1cb7x6ypOTkoY9naUUddYQ,spotify:track:1cb7x6ypOTkoY9naUUddYQ,https://api.spotify.com/v1/tracks/1cb7x6ypOTkoY9naUUddYQ,https://api.spotify.com/v1/audio-analysis/1cb7x6ypOTkoY9naUUddYQ,238467,4,RnB,Outta My System,,
0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,172.824,audio_features,68vgtRHr7iZHpzGpon6Jlo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo,223440,4,RnB,My Boo,,
